"ï..internet","netdome","abortion","buyamer","condoms1","deathpen","goodeduc","gun","marijuan","moreinc","politics","pollut","sexmarr","liberal","age","educ","emplmerg","income","sex","citysize"
"61",1,4,4,5,5,6,5,4,4,1,4,1,5,3,62,3,1,7,1,3
"62",1,6,4,1,3,5,1,1,1,6,1,2,1,3,52,4,2,10,2,3
"63",1,6,3,4,1,6,6,1,1,4,1,1,1,2,56,3,1,5,2,4
"64",1,2,1,5,5,3,3,1,1,6,2,6,3,3,23,4,1,8,2,1
"65",1,6,1,5,1,6,1,1,1,6,1,3,1,2,19,3,4,2,2,1
"66",1,5,4,4,6,5,3,1,5,6,2,3,4,3,29,4,1,5,2,3
"67",2,1,5,5,1,5,4,1,1,5,2,4,1,2,36,4,1,11,2,2
"68",1,2,1,4,1,4,3,2,2,5,2,5,1,NA,36,4,1,NA,1,2
"69",2,1,4,5,2,6,5,4,4,4,5,4,4,1,29,6,4,15,2,3
"70",1,1,1,1,1,3,5,1,1,4,1,1,1,2,27,6,1,11,2,4
"71",1,3,4,6,4,4,3,2,2,4,4,3,3,2,67,4,3,5,2,3
"72",1,3,3,4,6,3,5,1,1,6,2,1,5,3,23,3,4,2,2,1
"73",2,1,1,3,3,6,3,1,2,5,5,4,1,NA,25,4,1,NA,1,3
"74",1,2,5,4,6,6,2,1,6,6,1,4,6,4,21,4,4,2,2,2
"75",1,4,5,4,4,4,4,1,1,3,2,5,1,2,67,4,3,4,2,3
"76",1,3,1,4,5,3,3,1,2,6,3,2,1,3,21,4,1,15,1,1
"77",2,1,4,5,5,5,5,1,4,5,2,5,4,5,28,3,4,4,2,2
"78",2,1,2,2,3,4,2,2,2,4,6,4,2,2,36,6,1,15,2,4
"79",1,4,4,5,5,4,1,1,1,6,4,4,1,3,27,5,1,8,2,3
"80",1,3,4,4,1,5,5,1,2,2,4,5,1,2,73,4,3,6,2,2
"81",2,1,1,2,2,6,2,1,1,4,2,1,1,2,32,6,1,13,1,4
"82",1,1,5,4,5,6,4,1,1,5,2,4,1,NA,31,6,1,NA,2,3
"83",1,6,3,3,6,1,3,1,1,NA,6,3,1,2,28,4,1,6,2,2
"84",2,1,6,2,1,6,4,1,2,6,1,4,1,2,60,6,1,15,1,4
"85",2,3,6,3,6,3,4,1,4,6,4,4,6,4,30,5,4,6,2,3
"86",1,5,6,5,6,4,1,1,1,1,3,4,1,3,56,4,1,15,2,1
"87",1,1,6,1,6,1,1,1,6,2,6,6,6,2,71,6,2,15,2,4
"88",1,1,1,6,6,6,6,4,1,6,1,6,5,3,20,4,2,4,2,1
"89",1,1,6,6,6,4,6,2,3,4,1,3,5,1,22,3,4,8,2,3
"90",1,3,1,4,2,4,4,3,1,6,4,4,1,1,33,5,4,2,2,1
"91",1,6,6,6,6,6,5,2,1,6,2,5,1,3,22,4,4,4,2,2
"92",1,1,1,5,3,3,1,1,1,3,4,4,1,NA,44,6,1,NA,2,3
"93",1,3,5,4,4,5,3,4,2,4,4,4,4,3,39,4,1,11,2,2
"94",1,5,6,4,5,5,5,4,4,5,5,5,4,3,60,5,4,15,2,4
"95",1,4,5,6,2,6,4,5,1,4,5,2,3,1,61,4,3,3,1,3
"96",1,6,5,5,3,6,1,1,6,4,2,3,6,3,71,4,3,7,2,3
"97",1,6,1,6,5,1,2,1,5,6,2,5,5,2,27,5,1,11,2,4
"98",1,6,1,6,1,2,2,4,3,3,4,1,1,1,77,1,3,2,1,4
"99",2,1,6,4,2,5,2,4,4,6,5,4,3,2,24,6,1,1,2,1
"100",1,6,6,5,1,6,2,3,4,1,3,3,1,2,70,4,2,6,2,2
"101",1,4,1,5,1,6,6,1,1,6,1,6,1,1,22,3,4,1,2,2
"102",1,6,3,6,1,4,1,6,2,5,1,1,1,3,34,3,1,5,1,1
"103",1,2,4,1,4,6,6,1,1,2,1,3,1,3,29,5,4,6,2,2
"104",1,3,5,6,5,5,5,6,5,6,1,3,1,2,34,3,1,8,1,3
"105",2,1,3,5,4,2,3,2,3,5,5,4,5,2,58,5,2,14,2,3
"106",1,3,1,6,6,1,1,1,1,6,6,3,1,1,24,3,1,2,1,1
"107",1,4,1,3,3,4,2,2,1,4,1,4,2,2,26,4,4,8,2,1
"108",2,4,1,4,1,2,1,1,1,5,1,4,1,2,45,6,1,10,1,2
"109",1,2,1,5,1,5,4,1,2,6,3,4,1,3,25,4,4,2,2,3
"110",1,3,6,3,4,6,6,6,1,6,5,2,1,3,35,4,1,6,2,3
"111",1,4,1,5,3,6,5,4,1,5,2,4,2,3,33,6,1,10,2,1
"112",1,4,1,3,1,1,4,1,1,4,4,3,1,2,73,4,3,11,2,2
"113",2,1,5,6,5,6,1,1,6,4,3,5,2,3,37,4,1,12,1,3
"114",1,3,3,6,2,5,5,2,2,6,2,5,4,3,32,4,2,6,2,2
"115",1,6,1,2,6,5,4,6,4,4,6,5,4,1,19,3,4,1,2,4
"116",1,6,2,4,4,4,3,3,3,2,3,4,2,2,76,3,3,8,1,4
"117",1,3,5,6,3,4,5,1,5,5,1,4,2,4,36,4,1,6,2,4
"118",2,5,3,4,2,2,3,1,3,5,3,1,1,2,67,4,1,12,2,2
"119",1,1,1,4,1,4,1,1,1,6,2,6,1,3,56,5,1,13,1,3
"120",1,6,3,5,6,6,5,1,1,6,4,5,1,3,44,4,1,2,2,4
"121",1,6,6,6,2,1,1,6,1,5,6,6,1,2,65,6,3,4,2,3
"122",1,2,3,6,5,6,5,6,6,4,4,3,1,3,70,3,1,15,2,3
"123",1,1,4,3,4,2,5,1,1,6,2,1,1,3,48,4,1,10,2,4
"124",1,6,4,1,3,2,6,1,1,1,2,1,1,1,40,4,4,1,2,4
"125",1,1,4,4,6,6,4,3,1,6,2,3,1,3,30,3,1,9,1,4
"126",NA,6,1,6,6,1,2,1,4,4,6,4,1,1,48,4,1,4,2,3
"127",1,3,4,5,5,4,2,1,4,4,4,4,5,3,38,3,4,2,2,4
"128",1,1,1,5,2,2,4,5,1,4,5,3,1,3,59,6,1,10,2,2
"129",2,1,3,4,2,4,4,3,1,6,4,4,1,2,24,5,1,10,1,2
"130",1,5,1,5,1,1,4,2,1,4,5,5,1,3,75,4,4,4,2,3
"131",1,4,3,5,1,5,3,1,1,4,1,1,1,2,64,3,3,3,1,4
"132",1,5,1,5,4,1,2,2,2,4,1,4,1,3,60,4,1,2,1,3
"133",1,1,1,4,5,4,1,3,1,4,5,4,1,2,66,5,1,9,1,4
"134",1,4,4,4,5,5,3,3,4,5,3,3,1,3,70,6,3,5,1,3
"135",2,4,1,5,1,6,3,3,3,6,1,6,1,NA,35,5,1,NA,1,3
"136",1,5,5,1,5,3,1,1,4,1,1,1,1,1,68,3,2,8,2,4
"137",1,1,6,5,2,3,5,2,1,5,3,5,2,3,27,3,1,5,1,2
"138",1,1,1,5,1,4,1,1,1,1,4,4,1,3,60,4,4,4,1,4
"139",1,4,6,2,6,6,5,6,6,1,1,1,6,1,35,1,4,4,2,3
"140",1,1,1,1,1,5,1,5,1,2,5,5,1,2,69,5,3,6,1,3
"141",1,4,4,5,4,3,4,1,1,6,3,2,1,3,28,4,1,3,2,3
"142",1,2,5,6,2,3,4,4,2,3,3,5,2,4,62,6,2,8,2,4
"143",1,4,2,3,6,6,5,5,1,4,1,5,1,2,57,3,4,12,2,3
"144",1,2,2,6,1,6,5,6,1,3,4,3,1,3,30,3,1,5,1,1
"145",1,5,6,6,1,6,1,1,6,1,4,6,1,1,75,3,3,4,1,4
"146",2,1,1,2,1,2,4,1,1,5,1,4,1,1,38,4,1,NA,2,4
"147",1,5,3,6,3,5,4,3,4,5,3,4,1,3,42,4,1,10,2,3
"148",2,1,5,5,5,5,3,4,5,5,5,5,5,4,44,5,1,14,1,4
"149",1,3,1,2,2,1,3,2,1,5,2,2,5,NA,33,4,1,NA,1,2
"150",1,4,3,6,5,6,2,6,1,1,4,4,1,2,57,3,1,NA,1,1
"151",1,3,3,4,2,2,2,1,2,4,2,4,2,4,48,6,1,7,2,2
"152",1,5,1,2,6,4,6,2,6,6,6,6,4,1,24,2,4,1,2,3
"153",1,3,6,3,4,5,5,1,5,3,3,5,4,4,34,4,1,4,2,4
"154",2,1,4,6,5,1,4,2,6,5,2,4,3,3,36,3,1,4,2,3
"155",1,4,5,6,6,6,1,2,2,2,3,5,1,4,68,3,2,2,1,2
"156",1,6,1,6,1,4,4,1,1,1,1,1,1,2,66,3,3,2,2,3
"157",1,1,1,4,4,2,2,2,3,5,3,4,1,3,22,4,2,9,2,1
"158",1,6,1,3,6,1,2,4,1,4,2,5,1,4,47,4,1,7,2,4
"159",1,2,5,6,1,1,3,4,1,6,4,5,1,1,59,3,1,11,2,2
"160",1,2,4,3,2,5,2,2,2,5,2,4,1,3,38,5,1,5,2,1
"161",1,6,1,1,2,4,1,1,3,6,1,3,1,2,44,4,1,4,1,2
"162",1,1,2,1,6,1,1,6,4,1,1,6,1,1,47,NA,4,2,1,4
"163",1,6,1,6,6,1,4,1,1,6,2,1,1,1,56,1,4,NA,2,1
"164",1,6,3,5,5,6,6,6,1,6,1,2,1,1,28,4,2,6,1,1
"165",1,5,4,5,5,5,2,2,5,6,2,5,4,2,52,3,1,11,1,4
"166",1,6,1,1,5,6,1,5,1,6,1,1,1,3,26,2,4,7,2,4
"167",1,5,4,5,4,5,4,3,3,5,2,4,4,3,39,3,1,11,1,3
"168",1,2,1,3,6,5,3,1,1,6,1,2,1,2,20,3,1,NA,2,2
"169",2,2,1,5,1,6,3,3,1,6,5,5,1,1,26,5,1,6,1,2
"170",1,5,6,5,6,6,3,1,6,6,4,2,5,2,39,4,1,10,1,2
"171",1,3,6,4,5,4,3,4,3,6,4,3,2,4,34,3,1,3,2,4
"172",1,6,4,6,6,6,6,6,1,5,1,3,1,3,38,3,1,7,1,4
"173",1,2,6,6,4,6,4,1,2,4,2,2,6,4,50,3,1,11,2,4
"174",1,2,1,4,4,4,4,1,1,4,1,5,2,3,31,5,1,6,2,1
"175",1,3,1,3,1,6,4,3,1,4,5,2,1,2,55,3,1,5,2,2
"176",2,1,5,3,3,5,5,2,5,6,4,5,5,3,28,6,1,14,2,2
"177",1,4,1,4,1,1,4,1,2,5,2,5,3,2,58,4,1,12,1,4
"178",1,6,3,4,1,1,3,5,2,2,1,3,1,3,74,4,3,3,1,3
"179",1,6,1,4,4,6,6,1,4,4,3,3,2,2,48,3,1,1,2,4
"180",1,5,5,6,4,1,5,4,4,3,4,3,1,3,37,2,4,5,2,1
"181",1,6,5,6,1,6,5,1,4,2,1,5,1,1,63,3,3,15,2,1
"182",2,1,6,2,6,1,1,1,6,5,6,6,6,4,58,6,1,12,1,4
"183",1,2,6,5,5,5,2,1,NA,3,2,5,5,2,50,6,1,10,2,1
"184",1,2,6,5,1,6,1,1,1,5,5,4,1,3,27,4,1,12,1,4
"185",1,2,1,5,3,6,2,4,1,6,4,4,1,2,31,5,1,9,1,3
"186",1,4,3,3,4,4,4,4,4,4,3,4,3,2,25,2,4,1,2,4
"187",1,6,1,3,1,3,1,1,1,1,3,3,1,1,35,4,1,10,2,4
"188",1,6,6,6,4,4,1,4,1,6,1,6,1,3,42,3,1,5,2,2
"189",1,6,6,4,5,3,4,1,3,1,4,5,5,4,72,6,2,6,2,4
"190",2,1,1,6,6,6,1,4,4,6,1,3,1,3,23,4,1,6,2,2
"191",1,4,1,4,4,1,2,1,1,4,5,5,NA,3,40,6,1,15,1,2
"192",1,5,6,6,6,6,5,1,1,3,6,1,6,3,71,6,1,6,1,4
"193",1,6,1,4,4,4,3,1,1,6,2,5,3,NA,30,6,1,NA,2,2
"194",1,1,6,1,6,NA,NA,NA,NA,NA,NA,2,NA,3,23,6,1,6,2,2
"195",1,5,6,1,2,6,5,1,1,6,4,5,6,1,44,3,1,5,1,4
"196",1,3,1,2,5,2,3,1,4,5,2,4,4,3,41,2,2,NA,2,3
"197",1,6,1,2,1,3,6,6,1,1,1,6,5,1,29,3,1,2,2,2
"198",NA,4,3,4,5,5,4,3,4,4,4,4,2,5,31,4,4,7,2,1
"199",1,4,4,5,6,6,1,1,3,2,1,3,6,4,48,3,1,9,2,1
"200",1,1,1,1,1,6,6,6,1,1,1,6,1,3,44,2,1,4,1,2
"201",1,4,6,1,6,5,4,6,2,3,1,2,6,NA,24,4,1,NA,1,1
"202",1,3,2,5,2,5,3,2,2,5,5,5,1,2,55,4,2,13,2,3
"203",2,2,NA,6,2,5,5,5,1,3,5,1,1,NA,60,4,1,NA,1,4
"204",1,1,3,2,2,5,5,1,1,6,2,5,1,2,35,4,1,10,2,2
"205",1,2,6,3,1,5,4,2,2,3,4,1,1,NA,67,6,3,NA,2,3
"206",1,2,3,6,3,4,3,5,1,1,4,6,1,4,65,4,3,13,2,4
"207",NA,4,4,3,3,2,3,2,3,5,4,4,3,3,22,3,1,11,2,3
"208",2,1,4,4,1,1,5,6,1,4,4,5,1,2,71,5,3,11,1,3
"209",1,2,1,5,1,6,3,4,1,6,5,6,1,4,59,4,1,10,2,4
"210",1,2,1,3,1,6,3,1,1,3,4,5,1,2,48,6,1,13,1,4
"211",1,4,4,4,3,5,5,4,4,5,4,2,3,3,42,4,1,5,1,3
"212",2,1,6,5,6,6,2,5,1,6,2,5,6,2,28,3,1,12,1,4
"213",1,6,6,4,1,6,4,4,1,1,4,6,1,1,53,3,3,2,1,4
"214",1,6,2,5,3,6,5,1,1,3,1,5,6,4,61,4,1,2,2,4
"215",2,1,1,4,1,1,6,1,1,6,2,6,1,NA,36,6,1,NA,1,2
"216",1,4,2,5,4,2,4,2,2,5,5,3,1,4,61,6,3,5,1,4
"217",1,2,1,4,1,3,2,1,1,1,4,4,1,2,69,4,3,10,1,4
"218",2,1,6,1,6,3,3,2,6,4,3,4,4,4,22,5,1,1,2,2
"219",2,2,1,5,4,3,4,6,1,5,5,4,1,2,59,3,1,14,2,1
"220",1,4,6,5,4,6,6,1,5,4,2,5,5,3,61,3,1,11,1,3
"221",2,1,4,5,5,4,3,1,4,2,1,4,4,2,47,4,1,8,2,4
"222",1,6,6,6,1,6,5,4,1,3,2,2,6,3,63,3,1,2,1,4
"223",1,2,6,5,4,4,3,3,2,1,2,5,1,2,56,3,1,5,2,1
"224",1,1,6,1,5,6,5,2,3,6,2,3,6,4,28,4,4,5,2,2
"225",1,6,1,6,1,2,4,1,1,4,1,4,1,1,60,1,3,7,1,4
"226",1,3,1,1,4,2,1,1,4,1,2,4,5,2,52,6,1,10,2,4
"227",2,1,5,4,5,6,1,4,2,5,4,4,1,4,46,6,1,15,1,3
"228",2,1,4,4,3,4,4,1,1,3,1,4,3,2,53,5,1,10,2,3
"229",1,1,1,3,6,4,3,1,4,5,1,1,3,1,21,3,2,1,2,2
"230",1,5,2,4,3,1,4,1,1,5,1,3,2,3,27,3,1,4,2,4
"231",1,5,1,2,1,1,5,1,1,4,3,3,1,2,47,4,1,12,2,3
"232",2,1,1,6,3,1,2,2,1,3,2,4,1,2,50,6,1,15,1,2
"233",1,1,2,2,4,4,3,3,2,4,4,3,1,2,33,5,1,11,2,2
"234",1,6,1,5,1,4,3,1,1,6,1,3,1,NA,39,4,1,NA,1,4
"235",2,5,1,3,2,6,2,1,1,6,3,4,1,1,41,4,4,8,2,1
"236",1,1,2,1,1,4,3,1,4,4,1,2,3,2,25,4,2,1,2,2
"237",1,4,4,4,4,4,4,4,4,4,4,4,4,3,46,6,1,15,1,3
"238",NA,3,6,4,1,6,4,3,1,2,3,3,2,2,55,3,1,11,2,1
"239",1,6,1,3,4,1,3,6,1,6,1,1,1,3,46,3,1,10,1,2
"240",2,1,1,5,1,1,4,1,5,1,3,2,1,3,49,4,4,12,2,1
"241",1,2,6,3,4,6,4,1,4,5,1,5,6,3,47,5,1,15,2,1
"242",1,5,4,5,2,6,4,3,2,3,2,5,3,3,76,4,3,3,2,4
"243",1,4,6,4,4,2,3,3,2,3,5,5,3,4,61,4,1,12,1,4
"244",NA,2,1,4,1,NA,3,5,1,1,5,3,1,2,69,3,4,2,2,1
"245",1,5,3,4,3,4,5,1,2,4,2,4,4,3,40,3,1,6,1,2
"246",2,5,5,2,6,5,5,5,5,2,5,5,6,NA,29,3,1,NA,1,1
"247",2,1,6,4,4,1,6,1,1,6,1,1,1,2,38,5,1,3,2,3
"248",1,4,3,6,5,6,1,1,1,5,1,5,2,4,49,3,1,11,1,4
"249",1,2,6,4,1,6,1,1,3,3,1,2,2,3,32,2,1,10,2,4
"250",1,3,4,4,4,3,3,3,4,4,3,4,3,NA,52,4,4,NA,1,3
"251",1,3,1,4,1,5,3,2,3,5,5,2,2,2,56,4,1,10,2,1
"252",1,1,6,6,6,2,3,1,5,5,1,2,1,4,57,2,1,8,1,1
"253",1,6,1,5,2,3,4,4,4,3,3,3,3,3,36,1,4,1,1,1
"254",2,1,6,3,4,4,4,2,6,2,4,5,4,4,60,6,1,15,1,2
"255",1,3,4,4,3,5,3,1,2,4,4,5,3,4,47,6,1,8,1,3
"256",1,5,6,4,3,6,5,4,1,1,2,5,1,2,54,3,1,3,2,1
"257",2,1,6,1,5,5,5,1,1,5,1,3,4,4,34,4,2,10,2,3
"258",2,2,6,4,3,6,3,2,4,5,4,3,5,3,29,4,1,3,1,1
"259",1,6,6,5,5,6,5,5,3,6,2,4,4,4,35,3,1,10,1,4
"260",2,1,3,5,5,5,2,2,1,5,1,3,1,3,30,3,2,10,2,1
"261",1,2,5,2,4,5,4,3,3,5,1,1,2,4,28,5,1,10,2,4
"262",1,4,3,3,6,3,6,2,1,3,1,3,6,4,33,4,1,3,2,4
"263",1,2,6,5,3,4,3,1,1,4,6,5,3,2,37,5,2,NA,2,2
"264",1,6,4,4,3,6,5,1,1,6,6,6,1,4,60,1,4,4,1,2
"265",1,6,1,6,1,1,1,6,1,6,4,5,1,2,43,4,1,15,1,4
"266",1,6,6,4,4,5,1,1,2,1,4,4,4,1,79,3,3,1,2,4
"267",1,4,1,5,1,1,5,1,1,1,3,2,1,1,70,3,4,2,2,4
"268",1,3,1,4,1,5,4,5,1,6,5,1,1,2,59,3,1,14,1,3
"269",2,1,1,6,4,6,2,1,1,2,2,2,1,3,53,4,1,10,1,1
"270",2,1,6,5,2,5,2,2,4,2,5,1,1,2,65,5,3,12,2,4
"271",1,6,4,6,5,5,2,1,4,2,6,4,1,1,66,3,2,12,1,4
"272",1,3,2,5,1,2,1,1,1,3,4,4,1,3,87,3,3,6,1,1
"273",1,4,6,5,5,6,4,1,6,4,4,4,5,4,51,3,2,13,2,3
"274",2,2,6,1,2,4,3,1,2,3,4,3,1,NA,27,5,1,NA,1,2
"275",1,6,4,4,2,4,4,2,3,5,3,4,3,4,36,5,1,10,2,4
"276",1,3,2,4,2,5,1,1,1,3,4,4,1,3,65,6,3,12,1,3
"277",1,1,4,4,5,2,3,1,1,6,6,4,1,1,43,5,1,NA,1,4
"278",1,6,5,5,5,4,4,6,4,5,2,4,4,3,34,3,1,5,2,2
"279",2,1,6,4,4,4,1,1,4,5,3,5,5,3,31,3,4,11,2,4
"280",1,2,1,5,6,NA,NA,NA,NA,NA,NA,5,NA,2,55,5,1,10,2,4
"281",1,4,6,4,4,6,4,1,1,6,5,6,1,4,43,4,1,9,2,4
"282",2,1,2,4,1,6,5,3,2,5,6,1,1,1,44,6,1,5,1,1
"283",1,1,4,6,1,5,3,1,1,6,2,3,1,2,29,3,1,2,1,1
"284",1,4,1,5,6,6,6,6,4,5,1,2,1,1,46,4,1,8,1,3
"285",1,6,1,1,6,1,1,1,6,6,4,4,1,2,82,3,1,2,2,1
"286",1,1,6,5,5,4,5,4,5,5,5,6,1,3,42,5,1,6,2,4
"287",1,6,1,4,1,2,3,1,2,3,1,5,1,2,50,2,4,8,2,4
"288",2,1,6,1,3,6,6,3,2,6,5,6,6,4,36,5,1,8,2,2
"289",1,1,4,4,1,5,4,NA,1,4,4,5,1,2,31,5,4,NA,2,2
"290",1,2,4,5,6,6,2,2,2,6,2,6,4,1,21,4,4,2,2,3
"291",2,1,6,4,6,6,3,1,6,3,4,4,6,5,27,4,1,10,1,2
"292",1,2,3,3,5,2,3,3,5,3,5,4,3,4,55,6,4,1,1,3
"293",1,5,4,6,1,4,2,1,1,3,3,3,6,2,56,4,1,6,2,4
"294",1,5,6,5,6,6,5,4,1,4,4,3,5,4,53,4,1,13,2,1
"295",1,1,4,4,2,4,6,3,3,4,4,4,1,2,20,4,1,4,1,3
"296",1,4,3,1,6,6,6,1,4,6,4,6,6,3,23,4,1,1,2,1
"297",2,1,6,4,5,4,1,3,5,6,1,5,6,3,23,6,1,3,2,3
"298",1,1,5,3,6,6,6,3,5,5,2,6,4,3,23,4,4,2,2,4
"299",2,1,6,3,1,6,6,1,1,6,6,6,6,2,25,4,2,6,1,4
"300",1,6,6,5,6,1,2,3,6,6,6,6,6,4,27,4,1,4,1,3
"301",2,1,6,5,2,6,5,3,1,5,6,6,5,3,23,4,1,12,1,4
"302",1,6,1,6,1,5,5,1,1,4,5,5,1,1,76,3,3,1,2,4
"303",1,2,6,6,1,6,5,5,1,2,4,4,1,3,34,3,1,10,1,3
"304",1,6,4,2,2,6,4,6,2,3,4,3,1,2,61,3,1,10,1,3
"305",2,1,1,5,5,3,3,3,1,6,4,3,1,2,25,4,1,4,2,2
"306",2,1,4,4,5,4,2,3,4,6,2,3,4,2,29,4,2,10,2,2
"307",1,5,1,4,1,5,3,3,1,4,3,3,1,2,32,4,1,NA,1,2
"308",1,2,5,5,3,6,1,4,6,6,5,1,4,3,29,5,1,11,1,1
"309",2,1,2,6,1,4,6,6,6,3,1,4,1,NA,34,3,1,NA,1,1
"310",2,1,1,5,4,6,4,2,4,6,5,3,1,2,30,4,4,NA,2,3
"311",1,3,1,4,4,6,5,4,4,6,1,4,4,3,25,3,4,1,2,2
"312",1,5,1,6,4,5,1,1,1,6,1,1,2,1,30,4,1,10,2,3
"313",2,1,6,4,6,1,1,1,6,5,6,6,6,4,62,6,1,15,1,4
"314",2,1,6,2,6,6,1,3,4,6,1,6,1,3,33,6,1,12,1,3
"315",1,1,5,4,6,5,5,4,1,5,1,4,3,3,28,3,1,7,2,2
"316",2,1,5,4,6,5,5,5,4,5,4,5,4,4,27,4,1,12,1,3
"317",2,2,1,4,1,1,5,1,1,6,3,2,1,1,21,4,2,2,1,4
"318",2,2,5,6,6,6,4,6,6,4,6,4,6,5,23,4,1,6,2,4
"319",2,2,6,6,3,6,4,5,4,4,4,4,4,1,31,4,1,15,1,3
